temp,time_hours_interp,hanliang_log10,数据类型
15,5.083333333333333,0.3742732153950133,原始实测
15,5.166666666666666,0.3799073092204773,原始实测
15,5.25,0.3855414030459413,原始实测
15,5.333333333333333,0.3911754968714053,原始实测
15,5.416666666666666,0.3968095906968693,原始实测
15,5.5,0.4024436845223333,原始实测
15,5.583333333333333,0.4080777783477973,原始实测
15,5.666666666666666,0.4137118721732614,原始实测
15,5.75,0.4193459659987254,原始实测
15,5.833333333333333,0.4249800598241894,原始实测
15,5.916666666666666,0.4306141536496534,原始实测
15,6,0.4362482474751175,原始实测
15,6.083333333333333,0.4418823413005814,原始实测
15,6.166666666666666,0.4475164351260454,原始实测
15,6.25,0.4531505289515095,原始实测
15,6.333333333333333,0.4587846227769734,原始实测
15,6.416666666666666,0.4644187166024375,原始实测
15,6.5,0.4700528104279015,原始实测
15,6.583333333333333,0.4756869042533655,原始实测
15,6.666666666666666,0.4813209980788295,原始实测
15,6.75,0.4869550919042935,原始实测
15,6.833333333333333,0.4925891857297575,原始实测
15,6.916666666666666,0.4982232795552215,原始实测
15,7,0.5038573733806856,原始实测
15,7.083333333333333,0.5094914672061496,原始实测
15,7.166666666666666,0.5151255610316136,原始实测
15,7.25,0.5207596548570776,原始实测
15,7.333333333333333,0.5263937486825416,原始实测
15,7.416666666666666,0.5320278425080056,原始实测
15,7.5,0.5376619363334696,原始实测
15,7.583333333333333,0.5432960301589336,原始实测
15,7.666666666666666,0.5489301239843976,原始实测
15,7.75,0.5545642178098616,原始实测
15,7.833333333333333,0.5601983116353257,原始实测
15,7.916666666666666,0.5658324054607897,原始实测
15,8,0.5714664992862537,原始实测
15,8.083333333333332,0.5771005931117177,原始实测
15,8.166666666666666,0.5827346869371817,原始实测
15,8.25,0.5883687807626458,原始实测
15,8.333333333333332,0.5940028745881096,原始实测
15,8.416666666666666,0.5996369684135737,原始实测
15,8.5,0.6052710622390378,原始实测
15,8.583333333333332,0.6109051560645017,原始实测
15,8.666666666666666,0.6165392498899658,原始实测
15,8.75,0.6221733437154298,原始实测
15,8.833333333333332,0.6278074375408937,原始实测
15,8.916666666666666,0.6334415313663577,原始实测
15,9,0.6390756251918218,原始实测
15,9.083333333333332,0.6447097190172857,原始实测
15,9.166666666666666,0.6503438128427499,原始实测
15,9.25,0.6559779066682139,原始实测
15,9.333333333333332,0.6616120004936779,原始实测
15,9.416666666666666,0.6672460943191418,原始实测
15,9.5,0.6728801881446058,原始实测
15,9.583333333333332,0.6785142819700698,原始实测
15,9.666666666666666,0.6841483757955339,原始实测
15,9.75,0.689782469620998,原始实测
15,9.833333333333332,0.6954165634464619,原始实测
15,9.916666666666666,0.701050657271926,原始实测
15,10,0.7066847510973899,原始实测
15,10.083333333333332,0.7123188449228539,原始实测
15,10.166666666666666,0.7179529387483179,原始实测
15,10.25,0.723587032573782,原始实测
15,10.333333333333332,0.7292211263992459,原始实测
15,10.416666666666666,0.73485522022471,原始实测
15,10.5,0.740489314050174,原始实测
15,10.583333333333332,0.746123407875638,原始实测
15,10.666666666666666,0.751757501701102,原始实测
15,10.75,0.757391595526566,原始实测
15,10.833333333333332,0.76302568935203,原始实测
15,10.916666666666666,0.7686597831774941,原始实测
15,11,0.7742938770029582,原始实测
15,11.083333333333332,0.779927970828422,原始实测
15,11.166666666666666,0.7855620646538861,原始实测
15,11.25,0.7911961584793501,原始实测
15,11.333333333333332,0.7968302523048141,原始实测
15,11.416666666666666,0.8024643461302781,原始实测
15,11.5,0.808098439955742,原始实测
15,11.583333333333332,0.813732533781206,原始实测
15,11.666666666666666,0.8193666276066702,原始实测
15,11.75,0.8250007214321342,原始实测
15,11.833333333333332,0.8306348152575982,原始实测
15,11.916666666666666,0.8362689090830622,原始实测
15,12,0.8419030029085262,原始实测
15,12.083333333333332,0.8475370967339901,原始实测
15,12.166666666666666,0.8531711905594541,原始实测
15,12.25,0.8588052843849183,原始实测
15,12.333333333333332,0.8644393782103821,原始实测
15,12.416666666666666,0.8700734720358463,原始实测
15,12.5,0.8757075658613103,原始实测
15,12.583333333333332,0.8813416596867742,原始实测
15,12.666666666666666,0.8869757535122382,原始实测
15,12.75,0.8926098473377022,原始实测
15,12.833333333333332,0.8982439411631662,原始实测
15,12.916666666666666,0.9038780349886304,原始实测
15,13,0.9095121288140944,原始实测
15,13.083333333333332,0.9151462226395584,原始实测
15,13.166666666666666,0.9207803164650225,原始实测
15,13.25,0.9264144102904864,原始实测
15,13.333333333333332,0.9320485041159504,原始实测
15,13.416666666666666,0.9376825979414144,原始实测
15,13.5,0.9433166917668784,原始实测
15,13.583333333333332,0.9489507855923422,原始实测
15,13.666666666666666,0.9545848794178065,原始实测
15,13.75,0.9602189732432704,原始实测
15,13.833333333333332,0.9658530670687344,原始实测
15,13.916666666666666,0.9714871608941984,原始实测
15,14,0.9771212547196624,原始实测
15,14.083333333333332,0.9827553485451264,原始实测
15,14.166666666666666,0.9883894423705905,原始实测
15,14.25,0.9940235361960544,原始实测
15,14.333333333333332,0.9996576300215184,原始实测
15,14.416666666666666,1.0052917238469825,原始实测
15,14.5,1.0109258176724465,原始实测
15,14.583333333333332,1.0165599114979105,原始实测
15,14.666666666666666,1.0221940053233745,原始实测
15,14.75,1.0278280991488389,原始实测
15,14.833333333333332,1.0334621929743024,原始实测
15,14.916666666666666,1.0390962867997666,原始实测
15,15,1.0447303806252306,原始实测
15,15.083333333333332,1.0503644744506946,原始实测
15,15.166666666666666,1.0559985682761586,原始实测
15,15.25,1.0616326621016223,原始实测
15,15.333333333333332,1.0672667559270863,原始实测
15,15.416666666666666,1.0729008497525503,原始实测
15,15.5,1.0785349435780147,原始实测
15,15.583333333333332,1.0841690374034785,原始实测
15,15.666666666666666,1.089803131228943,原始实测
15,15.75,1.0954372250544069,原始实测
15,15.833333333333332,1.1010713188798706,原始实测
15,15.916666666666666,1.1067054127053346,原始实测
15,16,1.1123395065307988,原始实测
15,16.083333333333332,1.1179736003562626,原始实测
15,16.166666666666664,1.1236076941817266,原始实测
15,16.25,1.1292417880071908,原始实测
15,16.333333333333332,1.1348758818326548,原始实测
15,16.416666666666664,1.1405099756581183,原始实测
15,16.5,1.1461440694835827,原始实测
15,16.583333333333332,1.1517781633090467,原始实测
15,16.666666666666664,1.157412257134511,原始实测
15,16.75,1.1630463509599749,原始实测
