temperature,time,concentration,type
7.0,37.59398496240601,17836.601123622786,预测
7.0,37.89473684210526,18747.374142849985,预测
7.0,38.19548872180451,19705.081708366866,预测
7.0,38.49624060150376,20712.142471975112,预测
7.0,38.796992481203006,21771.09972348568,预测
7.0,39.097744360902254,22884.62781345893,预测
7.0,39.3984962406015,24055.538906903956,预测
7.0,39.69924812030075,25286.79008499067,预测
7.0,40.0,26581.49081270642,预测
7.0,40.30075187969925,27942.91079131119,预测
7.0,40.6015037593985,29374.488215419537,预测
7.0,40.902255639097746,30879.83845555599,预测
7.0,41.20300751879699,32462.763188106535,预测
7.0,41.503759398496236,34127.25999571756,预测
7.0,41.804511278195484,35877.532462380026,预测
7.0,42.10526315789473,37718.000788687685,预测
7.0,42.40601503759398,39653.31295406815,预测
7.0,42.70676691729323,41688.35645416813,预测
7.0,43.00751879699248,43828.2706430247,预测
7.0,43.30827067669173,46078.45971118157,预测
7.0,43.609022556390975,48444.60633251318,预测
7.0,43.909774436090224,50932.6860142071,预测
7.0,44.21052631578947,53548.98218613094,预测
7.0,44.51127819548872,56300.102067673615,预测
7.0,44.81203007518797,59192.99335211333,预测
7.0,45.11278195488722,62234.961750628005,预测
7.0,45.41353383458647,65433.689440231974,预测
7.0,45.71428571428571,68797.2544622018,预测
7.0,46.01503759398496,72334.15111995525,预测
7.0,46.315789473684205,76053.31142786535,预测
7.0,46.616541353383454,79964.12766514249,预测
7.0,46.9172932330827,84076.47609170918,预测
7.0,47.21804511278195,88400.74188591169,预测
7.0,47.5187969924812,92947.84536701169,预测
7.0,47.81954887218045,97729.26956861965,预测
7.0,48.1203007518797,102757.08923265725,预测
7.0,48.421052631578945,108044.00129700308,预测
7.0,48.721804511278194,113603.3569537509,预测
7.0,49.02255639097744,119449.1953589628,预测
7.0,49.32330827067669,125596.27907896823,预测
7.0,49.62406015037594,132060.13136262755,预测
7.0,49.92481203007519,138857.07533358937,预测
7.0,50.225563909774436,146004.27520140514,预测
7.0,50.526315789473685,153519.7795954464,预测
7.0,50.827067669172926,161422.56713092653,预测
7.0,51.127819548872175,169732.5943219401,预测
7.0,51.42857142857142,178470.8459623553,预测
7.0,51.72932330827067,187659.38810160194,预测
7.0,52.03007518796992,197321.4237489255,预测
7.0,52.33082706766917,207481.35144656262,预测
